episode,step,task,action_x,action_y,action_z,action_gripper,ee_x,ee_y,ee_z,ee_vx,ee_vy,ee_vz,gripper_width,gripper_state,cube_x,cube_y,cube_z,active_target_name,active_target_index,target_x,target_y,target_z,dist_ee_cube,dist_cube_target,reward,success,obstacle_in_path,obstacle_count,obstacle_1_type,obstacle_1_mass,obstacle_1_size_x,obstacle_1_size_y,obstacle_1_size_z,object_1_type,object_1_mass,object_1_size_x,object_1_size_y,object_1_size_z,table_x,table_y,table_z,table_offset_x,robot_control,robot_block_gripper,robot_base_x,robot_base_y,robot_base_z,scripts,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,cube_roll,cube_pitch,cube_yaw,cube_vx,cube_vy,cube_vz,goal_mode,goal_n_targets,goal_0_name,goal_0_x,goal_0_y,goal_0_z,dist_goal_0,goal_1_name,goal_1_x,goal_1_y,goal_1_z,dist_goal_1,goal_2_name,goal_2_x,goal_2_y,goal_2_z,dist_goal_2,goal_3_name,goal_3_x,goal_3_y,goal_3_z,dist_goal_3,target_changed,timestep
1,94,PICK_AND_PLACE,-0.939,-0.34,0.045,-1.0,-0.019,0.026,0.125,-0.333,-0.134,0.054,0.038,AGARRADA,-0.015,0.011,0.113,target_2,2,-0.1,0.0,0.02,0.0203,0.1265,-0.1265,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.06,0.39,-0.02,-2.11,0.01,2.49,0.82,-0.17,-0.89,-0.04,-1.29,0.02,0.38,-0.17,0.004,-0.037,0.005,-0.335,-0.304,0.054,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.18972348839851588,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.20927255509345336,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.1264713419572522,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.1542562822114837,False,93
1,95,PICK_AND_PLACE,-0.949,-0.31,0.054,-1.0,-0.052,0.014,0.126,-0.389,-0.116,0.028,0.038,AGARRADA,-0.048,-0.002,0.114,target_2,2,-0.1,0.0,0.02,0.0198,0.1073,-0.1073,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.05,0.31,-0.02,-2.23,0.01,2.54,0.8,-0.16,-0.92,-0.04,-1.36,0.01,0.35,-0.17,0.004,-0.036,0.005,-0.391,-0.305,0.028,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.2191894213788305,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.2417519446630579,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.10744300926079198,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.14813507532991071,False,94
1,96,PICK_AND_PLACE,-0.96,-0.27,0.079,-1.0,-0.086,0.002,0.127,-0.439,-0.099,0.019,0.038,AGARRADA,-0.083,-0.014,0.115,target_2,2,-0.1,0.0,0.02,0.0204,0.0972,-0.0972,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.03,0.23,-0.03,-2.35,0.01,2.58,0.78,-0.14,-0.99,-0.05,-1.44,0.0,0.32,-0.16,0.004,-0.034,0.005,-0.441,-0.259,0.018,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.25201191016004204,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.27624265275706356,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.0975192295683296,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.14936532554561333,False,95
1,97,PICK_AND_PLACE,-0.963,-0.151,0.224,-1.0,-0.126,-0.005,0.129,-0.555,-0.041,0.049,0.038,AGARRADA,-0.122,-0.022,0.117,target_2,2,-0.1,0.0,0.02,0.0217,0.1021,-0.1021,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.03,0.14,-0.04,-2.48,0.01,2.6,0.77,-0.06,-1.33,-0.04,-1.71,-0.02,0.19,-0.09,0.004,-0.024,0.004,-0.557,-0.091,0.048,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.28961526777643726,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.313491632572236,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.10186756118195651,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.1574071166902818,False,96
1,98,PICK_AND_PLACE,0.251,0.045,-0.967,-1.0,-0.108,-0.002,0.116,0.222,0.006,-1.029,0.037,AGARRADA,-0.103,-0.016,0.101,target_2,2,-0.1,0.0,0.02,0.0203,0.083,-0.083,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.03,0.21,-0.03,-2.46,0.02,2.71,0.77,0.01,3.33,0.04,1.53,0.06,0.81,-0.0,-0.001,-0.047,0.011,0.214,0.18,-1.029,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.266131552222608,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.28987239163832357,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.08261961064710333,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.14151325170875656,False,97
1,99,PICK_AND_PLACE,0.069,0.017,-0.738,-1.0,-0.113,-0.001,0.073,-0.327,-0.002,-0.812,0.038,AGARRADA,-0.11,-0.008,0.059,target_2,2,-0.1,0.0,0.02,0.016,0.0412,-0.0412,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.03,0.32,-0.03,-2.42,0.02,2.72,0.77,0.0,1.84,0.02,0.25,0.02,0.09,0.01,-0.002,0.018,0.011,-0.347,0.182,-0.817,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.2630304224501612,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.2842270280184053,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.04104875156525953,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.11526057577043193,False,98
1,100,PICK_AND_PLACE,0.061,0.006,-0.194,-1.0,-0.118,-0.001,0.052,-0.078,-0.0,-0.225,0.038,AGARRADA,-0.115,-0.001,0.039,target_2,2,-0.1,0.0,0.02,0.0134,0.0244,-0.0244,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.03,0.37,-0.02,-2.42,0.02,2.76,0.77,-0.01,0.52,0.02,0.01,0.02,0.29,-0.01,-0.001,0.028,0.01,-0.081,0.183,-0.225,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.26568214688991343,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.284230546347568,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.024228082307187312,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.10386048465748318,False,99
1,101,PICK_AND_PLACE,0.052,0.003,-0.064,-1.0,-0.115,-0.001,0.05,0.023,0.001,-0.012,0.038,AGARRADA,-0.112,0.006,0.038,target_2,2,-0.1,0.0,0.02,0.0149,0.0219,-0.0219,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.02,0.37,-0.02,-2.43,0.02,2.8,0.77,-0.01,0.05,0.01,-0.05,0.02,0.3,-0.01,-0.001,0.002,0.01,0.026,0.184,-0.011,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.26268613046633554,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.2789336900044857,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.022449943882568386,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.09645724576449559,False,100
1,102,PICK_AND_PLACE,0.189,0.011,0.982,1.0,-0.122,-0.001,0.06,0.301,0.008,0.715,0.075,ABERTA,-0.11,0.014,0.029,target_2,2,-0.1,0.0,0.02,0.0366,0.0194,-0.0194,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.03,0.34,-0.03,-2.42,0.02,2.7,0.77,0.02,-1.57,-0.03,0.08,-0.05,-0.77,0.04,-0.001,-0.006,0.01,0.026,0.183,-0.403,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.2605321536921848,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.2740018309497004,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.019416487278709996,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.0870459662163864,False,101
1,103,PICK_AND_PLACE,0.306,0.015,0.952,1.0,-0.109,-0.001,0.097,0.241,0.008,0.594,0.079,ABERTA,-0.11,0.017,0.02,target_2,2,-0.1,0.0,0.02,0.079,0.0197,-0.0197,False,False,0,box,0.0,0.02,0.3,0.1,box,1.0,0.04,0.04,0.04,1.1,0.7,0.4,-0.3,ee,False,-0.6,0.0,0.05,script_1|reach_only|left_right,0.03,0.26,-0.03,-2.42,0.02,2.67,0.77,0.01,-1.26,-0.01,-0.0,-0.02,-0.26,0.02,-0.0,-0.004,0.01,0.003,-0.0,0.004,goal_sequence,4,target,0.15000000596046448,0.0,0.019999999552965164,0.2605551824459486,target_1,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.27292673622567803,target_2,-0.10000000149011612,0.0,0.019999999552965164,0.019723082167797206,target_3,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.0836002405352817,False,102
