episode,step,task,action_x,action_y,action_z,action_gripper,ee_x,ee_y,ee_z,ee_vx,ee_vy,ee_vz,cube_x,cube_y,cube_z,active_target_name,active_target_index,target_x,target_y,target_z,dist_ee_cube,dist_cube_target,reward,success,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,cube_roll,cube_pitch,cube_yaw,cube_vx,cube_vy,cube_vz,goal_0_x,goal_0_y,goal_0_z,dist_goal_0,goal_1_x,goal_1_y,goal_1_z,dist_goal_1,goal_2_x,goal_2_y,goal_2_z,dist_goal_2,goal_3_x,goal_3_y,goal_3_z,dist_goal_3,target_changed,timestep
1,11,PUSH,0.038,0.0,-0.298,0.0,-0.022,-0.0,0.025,-0.026,0.0,-0.157,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.0523,0.12,-0.12,False,-0.0,0.61,0.0,-2.08,-0.0,2.69,0.79,0.0,0.35,-0.0,0.08,-0.0,0.18,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,10
1,12,PUSH,0.3,0.0,-0.008,0.0,-0.013,-0.0,0.023,0.134,-0.0,0.068,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.0427,0.12,-0.12,False,-0.0,0.63,0.0,-2.04,-0.0,2.67,0.79,0.0,0.06,-0.0,0.35,0.0,-0.13,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,11
1,13,PUSH,0.3,0.0,-0.006,0.0,-0.002,-0.0,0.024,0.088,-0.0,0.003,0.03,0.0,0.02,target,0,0.15,0.0,0.02,0.0325,0.12,-0.12,False,-0.0,0.65,0.0,-2.0,-0.0,2.65,0.79,0.0,0.16,-0.0,0.32,0.0,-0.13,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.12000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.15620499905103785,-0.10000000149011612,0.0,0.019999999552965164,0.13000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.16401219675820886,False,12
1,14,PUSH,0.3,0.0,-0.007,0.0,0.008,-0.0,0.024,0.094,-0.0,0.01,0.04,0.0,0.02,target,0,0.15,0.0,0.02,0.0328,0.1098,-0.1098,False,-0.0,0.67,0.0,-1.97,-0.0,2.63,0.79,0.0,0.16,-0.0,0.35,0.0,-0.15,-0.0,-0.0,-0.0,-0.001,0.178,0.0,0.001,0.15000000596046448,0.0,0.019999999552965164,0.11000000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.14866069288593217,-0.10000000149011612,0.0,0.019999999552965164,0.14000000149011613,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.17204650741952232,False,13
1,15,PUSH,0.3,0.0,-0.008,0.0,0.017,-0.0,0.024,0.087,0.0,0.008,0.05,0.0,0.02,target,0,0.15,0.0,0.02,0.0325,0.1004,-0.1004,False,-0.0,0.69,0.0,-1.93,-0.0,2.61,0.79,0.0,0.16,0.0,0.34,0.0,-0.15,-0.0,-0.0,-0.0,-0.001,0.144,0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.10000000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.1414213615056656,-0.10000000149011612,0.0,0.019999999552965164,0.1500000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.1802775658396187,False,14
1,16,PUSH,0.3,0.0,-0.009,0.0,0.027,-0.0,0.024,0.085,0.0,0.007,0.06,-0.0,0.02,target,0,0.15,0.0,0.02,0.0328,0.0904,-0.0904,False,-0.0,0.71,0.0,-1.88,-0.0,2.59,0.79,-0.0,0.16,0.0,0.34,-0.0,-0.16,0.0,-0.0,-0.001,-0.001,0.152,-0.0,0.001,0.15000000596046448,0.0,0.019999999552965164,0.09000000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.13453624556567226,-0.10000000149011612,0.0,0.019999999552965164,0.16000000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.188679624694508,False,15
1,17,PUSH,0.3,0.0,-0.01,0.0,0.036,-0.0,0.024,0.083,0.0,0.007,0.069,-0.0,0.02,target,0,0.15,0.0,0.02,0.0323,0.0815,-0.0815,False,-0.0,0.73,0.0,-1.84,-0.0,2.57,0.79,-0.0,0.16,0.0,0.34,-0.0,-0.16,0.0,-0.0,-0.0,-0.001,0.13,0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.08100000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.12868955382477051,-0.10000000149011612,0.0,0.019999999552965164,0.16900000149011613,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.19636955161552536,False,16
1,18,PUSH,0.3,0.0,-0.011,0.0,0.046,-0.0,0.024,0.081,0.0,0.006,0.078,-0.0,0.02,target,0,0.15,0.0,0.02,0.0327,0.0719,-0.0719,False,-0.0,0.75,0.0,-1.8,-0.0,2.55,0.79,-0.0,0.16,0.0,0.34,-0.0,-0.16,0.0,-0.0,-0.001,-0.001,0.139,-0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.07200000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.12322337909800293,-0.10000000149011612,0.0,0.019999999552965164,0.17800000149011613,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.2041666006684359,False,17
1,19,PUSH,0.3,0.0,-0.013,0.0,0.055,-0.0,0.024,0.078,0.0,0.006,0.087,-0.0,0.02,target,0,0.15,0.0,0.02,0.0322,0.0634,-0.0634,False,-0.0,0.77,0.0,-1.76,-0.0,2.53,0.79,-0.0,0.16,0.0,0.34,-0.0,-0.15,0.0,-0.0,-0.0,-0.001,0.116,-0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.06300000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.1181905285927844,-0.10000000149011612,0.0,0.019999999552965164,0.1870000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.21205895608374256,False,18
1,20,PUSH,0.3,0.0,-0.014,0.0,0.063,-0.0,0.025,0.075,0.0,0.004,0.096,-0.0,0.02,target,0,0.15,0.0,0.02,0.0328,0.0541,-0.0541,False,-0.0,0.79,0.0,-1.72,-0.0,2.51,0.79,-0.0,0.17,0.0,0.34,-0.0,-0.15,0.0,-0.0,-0.0,-0.001,0.128,-0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.054000005960464476,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.11364858530467252,-0.10000000149011612,0.0,0.019999999552965164,0.19600000149011612,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.22003636263615328,False,19
1,21,PUSH,0.3,0.0,-0.016,0.0,0.072,-0.0,0.025,0.073,0.0,0.004,0.104,-0.0,0.02,target,0,0.15,0.0,0.02,0.0319,0.0463,-0.0463,False,-0.0,0.81,0.0,-1.68,-0.0,2.49,0.79,-0.0,0.17,0.0,0.34,-0.0,-0.15,0.0,-0.0,-0.001,-0.001,0.093,0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.04600000596046448,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.11007270709120401,-0.10000000149011612,0.0,0.019999999552965164,0.2040000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.2271915511324983,False,20
1,22,PUSH,0.299,0.0,-0.018,0.0,0.08,-0.0,0.025,0.07,0.0,0.003,0.113,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.0328,0.1068,-0.1068,False,-0.0,0.83,0.0,-1.64,-0.0,2.47,0.79,-0.0,0.17,0.0,0.34,-0.0,-0.15,0.0,0.0,0.0,-0.002,0.116,-0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.037000005960464474,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10662551636028607,-0.10000000149011612,0.0,0.019999999552965164,0.2130000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.2353061854962863,True,21
